Province,cluster
Adana,2
Adıyaman,1
Afyonkarahisar,1
Ağrı,3
Aksaray,1
Amasya,1
Ankara,2
Antalya,2
Ardahan,1
Artvin,1
Aydın,2
Balıkesir,2
Bartın,1
Batman,3
Bayburt,1
Bilecik,1
Bingöl,1
Bitlis,3
Bolu,1
Burdur,1
Bursa,2
Çanakkale,2
Çankırı,1
Çorum,1
Denizli,2
Diyarbakır,3
Düzce,1
Edirne,2
Elazığ,1
Erzincan,1
Erzurum,1
Eskişehir,2
Gaziantep,1
Giresun,1
Gümüşhane,1
Hakkari,3
Hatay,1
Iğdır,3
Isparta,1
İstanbul,2
İzmir,2
Kahramanmaraş,1
Karabük,1
Karaman,1
Kars,1
Kastamonu,1
Kayseri,1
Kilis,1
Kırıkkale,1
Kırklareli,2
Kırşehir,1
Kocaeli,1
Konya,1
Kütahya,1
Malatya,1
Manisa,2
Mardin,3
Mersin,2
Muğla,2
Muş,3
Nevşehir,1
Niğde,1
Ordu,1
Osmaniye,1
Rize,1
Sakarya,1
Samsun,1
Siirt,3
Sinop,1
Sivas,1
Şanlıurfa,1
Şırnak,3
Tekirdağ,2
Tokat,1
Trabzon,1
Tunceli,2
Uşak,1
Van,3
Yalova,1
Yozgat,1
Zonguldak,1